42448485,2019-10-31 23:57:53 UTC,view,1003811,2053013555631882655,electronics.smartphone,honor,142.86,566265908,52c2c76c-b79e-4794-86ff-badc76d35f5a
42448507,2019-10-31 23:58:05 UTC,view,1004665,2053013555631882655,electronics.smartphone,samsung,782.22,532647354,d2d3d2c6-631d-489e-9fb5-06f340b85be0
42448510,2019-10-31 23:58:05 UTC,view,28718723,2053013565639492569,apparel.shoes,respect,89.84,514548537,83862618-424a-4e0f-9e33-832441433d9f
42448534,2019-10-31 23:58:19 UTC,view,32900147,2055156924407612189,accessories.bag,salmo,10.73,565841773,5b102238-1d7c-455a-91b9-11a8299b3d7d
42448576,2019-10-31 23:58:40 UTC,view,1307336,2053013558920217191,computers.notebook,asus,352.96,520772685,816a59f3-f5ae-4ccd-9b23-82aa8c23d33c
42448598,2019-10-31 23:58:50 UTC,view,1306421,2053013558920217191,computers.notebook,hp,514.56,530857208,c69f9c63-7098-426c-97d9-8cb94a0a1083
42448620,2019-10-31 23:58:57 UTC,view,1005205,2053013555631882655,electronics.smartphone,oppo,256.74,512789086,cc782b99-88ab-4573-8311-c62e1d447757
42448647,2019-10-31 23:59:11 UTC,view,56300074,2166064855264526831,apparel.jumper,conceptclub,30.63,566175330,680fb144-6940-4931-85e6-16dda8d4e2d5
42448651,2019-10-31 23:59:13 UTC,view,1005115,2053013555631882655,electronics.smartphone,apple,949.47,532647354,d2d3d2c6-631d-489e-9fb5-06f340b85be0
42448715,2019-10-31 23:59:41 UTC,view,12300261,2053013556311359947,construction.tools.drill,dewalt,114.65,517081324,bd1d99b3-0c06-4e1c-a6fe-8c797ff574dc
